,SEMANA,FECHA,TURNO,IMPRESORA,OPERADOR,N° DE PEDIDO,CLAVE SAP,NOMBRE DE PEDIDO,TIPO DE PRODUCTO,ANCHO DE PELICULA,TINTAS,FOLIO DEL ROLLO,HORA INICIO,HORA FINAL,PESO DE ROLLO,RECUPERADO,% DE RECUP,HORAS DE TRABAJO,DISCO,year,month,day,week,date
0,1.0,2019-01-02,2.0,5.0,OPERADOR1,SAP-1615,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,37CM,,SAP-1615-1-1,,,13.,,,0.,,2019,1,2,1,2019-01-02
1,1.0,2019-01-02,2.0,5.0,OPERADOR1,SAP-1615,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,37CM,,SAP-1615-2-1,,,36.,,,0.,,2019,1,2,1,2019-01-02
2,1.0,2019-01-02,2.0,5.0,OPERADOR1,SAP-1615,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,37CM,,SAP-1615-3-1,,,56.,,,0.,,2019,1,2,1,2019-01-02
3,1.0,2019-01-02,2.0,5.0,OPERADOR1,SAP-1615,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,37CM,,SAP-1615-4-1,,,74.,,,0.,,2019,1,2,1,2019-01-02
4,1.0,2019-01-02,2.0,7.0,OPERADOR2,SAP-1604,,NOMBREDEPEDIDO2,TIPODEPRODUCTO2,60CM,,SAP-1604-1-1,,,97.,13.,,0.,,2019,1,2,1,2019-01-02
5,1.0,2019-01-02,2.0,7.0,OPERADOR2,SAP-1604,,NOMBREDEPEDIDO2,TIPODEPRODUCTO2,60CM,,SAP-1604-1-2,,,96.,7.,,0.,,2019,1,2,1,2019-01-02
6,1.0,2019-01-02,2.0,7.0,OPERADOR2,SAP-1604,,NOMBREDEPEDIDO2,TIPODEPRODUCTO2,60CM,,SAP-1604-2-1,,,137.,,,0.,,2019,1,2,1,2019-01-02
7,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,37CM,,SAP-1615-5-1,,,63.,,,0.,,2019,1,3,1,2019-01-03
8,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615A,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,48CM,,SAP-1615A-4-1,,,50.,,,0.,,2019,1,3,1,2019-01-03
9,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615A,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,48CM,,SAP-1615A-1-1,,,52.,,,0.,,2019,1,3,1,2019-01-03
10,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615A,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,48CM,,SAP-1615A-3-1,,,71.,,,0.,,2019,1,3,1,2019-01-03
11,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615A,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,48CM,,SAP-1615A-5-1,,,58.,,,0.,,2019,1,3,1,2019-01-03
12,1.0,2019-01-03,1.0,5.0,OPERADOR3,SAP-1615A,,NOMBREDEPEDIDO1,TIPODEPRODUCTO1,48CM,,SAP-1615A-2-1,,,12.,,,0.,,2019,1,3,1,2019-01-03
13,1.0,2019-01-03,2.0,7.0,OPERADOR2,SAP-1620,,NOMBREDEPEDIDO3,TIPODEPRODUCTO1,76CM,,SAP-1620-3-1,,,29.,,,0.,,2019,1,3,1,2019-01-03
14,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-2-1,,,71.,,,0.,,2019,1,3,1,2019-01-03
15,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-2-2,,,72.,,,0.,,2019,1,3,1,2019-01-03
16,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-1-1,,,106.,,,0.,,2019,1,3,1,2019-01-03
17,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-6-1,,,93.,,,0.,,2019,1,3,1,2019-01-03
18,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-7-1,,,70.,,,0.,,2019,1,3,1,2019-01-03
19,1.0,2019-01-03,2.0,6.0,OPERADOR4,SAP-1607,,NOMBREDEPEDIDO4,TIPODEPRODUCTO2,57CM,,SAP-1607-7-2,,,70.,,,0.,,2019,1,3,1,2019-01-03
20,1.0,2019-01-03,2.0,5.0,OPERADOR1,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO3,40CM,,SAP-1629-1-1,,,68.,,,0.,,2019,1,3,1,2019-01-03
21,1.0,2019-01-03,2.0,5.0,OPERADOR1,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO3,40CM,,SAP-1629-2-1,,,29.,,,0.,,2019,1,3,1,2019-01-03
22,1.0,2019-01-03,2.0,5.0,OPERADOR1,SAP-1629,,NOMBREDEPEDIDO5,TIPODEPRODUCTO3,40CM,,SAP-1629-3-1,,,61.,,,0.,,2019,1,3,1,2019-01-03
