FECHA,TURNO,EXTRUSORA,OPERADOR,N° DE PEDIDO,NOMBRE DE PEDIDO,CLAVE SAP,TIPO DE PRODUCTO,MEDIDA DE LA BOLSA,TRATADO,ANCHO DE PELICULA,N° DE ROLLO,CALIBRE PEDIDO,CALIBRE REAL,MOTIVO DEL CORTE,HORA INICIO,HORA FINAL,KILOS/HORA,PRODUCTO CONFORME,% DE PRODUCTO CONFORME,RECUP.,% DE RECUP,BASURA,% DE BASURA,CONSUMO MP,% MATERIA PRIMA,HORAS DE TRABAJO,month,day,year,fecha_chida,week_chida,SEMANA
"January 2, 2019",1,5,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,0,28,0,MOTIVODELCORTE1,10:00 AM,11:03 AM,0,0,0.00%,16.7,97.66%,0.4,#DIV/0!,17.1,#DIV/0!,1.05,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,10,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,0,28,0,MOTIVODELCORTE1,10:00 AM,10:20 AM,0,0,0.00%,15,98.68%,0.2,#DIV/0!,15.2,#DIV/0!,0.33,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,10,OPERADOR2,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,1,28,28.4,MOTIVODELCORTE2,10:20 AM,12:25 PM,27.36,57,100.00%,0,0.00%,0,0.00%,57,100.00%,2.08,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,10,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,2,28,28.7,MOTIVODELCORTE3,12:25 PM,1:40 PM,17.6,22,92.83%,1.7,7.17%,0,0.00%,23.7,100.00%,1.25,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,11,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,15X27,,30.0 CM,0,27,0,MOTIVODELCORTE1,10:11 AM,11:00 AM,0,0,0.00%,18,98.36%,0.3,#DIV/0!,18.3,#DIV/0!,0.82,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,11,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,15X27,,30.0 CM,1,27,30.5,MOTIVODELCORTE3,11:00 AM,11:28 AM,21.43,10,90.91%,1,9.09%,0,0.00%,11,100.00%,0.47,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,11,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,15X27,,30.0 CM,2,27,29.4,MOTIVODELCORTE3,11:28 AM,12:00 PM,15,8,88.89%,1,11.11%,0,0.00%,9,100.00%,0.53,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,11,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,15X27,,30.0 CM,3,27,28.6,MOTIVODELCORTE3,12:00 PM,12:28 PM,21.43,10,90.91%,1,9.09%,0,0.00%,11,100.00%,0.47,1,2,2019,2019-01-02,1,1
"January 2, 2019",1,13,OPERADOR1,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,20X30,,30.0 CM,0,28,0,MOTIVODELCORTE1,11:00 AM,1:55 PM,0,0,0.00%,8,96.39%,0.3,#DIV/0!,8.3,#DIV/0!,2.92,1,2,2019,2019-01-02,1,1
"January 2, 2019",2,5,OPERADOR3,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,4,28,32,MOTIVODELCORTE4,11:03 AM,3:15 PM,25.95,109,93.16%,8,6.84%,0,0.00%,117,100.00%,4.2,1,2,2019,2019-01-02,1,1
"January 2, 2019",2,5,OPERADOR3,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,7,28,29.26,MOTIVODELCORTE2,4:35 PM,8:30 PM,25.53,100,100.00%,0,0.00%,0,0.00%,100,100.00%,3.92,1,2,2019,2019-01-02,1,1
"January 2, 2019",2,10,OPERADOR3,SAP-020119,NOMBREDEPEDIDO1,,TIPODEPRODUCTO1,25X35,,50.0 CM,3,28,27.3,MOTIVODELCORTE5,1:40 PM,2:35 PM,25.09,23,68.66%,10.5,31.34%,0,0.00%,33.5,100.00%,0.92,1,2,2019,2019-01-02,1,1
