,FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO,year,month,day
0,2019-01-02,1,2.0,5:00:00 p. m.,RESPONSABLE1,OPERADORES1,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80.0,,,,40.0,49.0,2.0,20,0.0,,,4.79,0.0,CAUSASEXTRUSION1,1.58,CAUSASIMPRESIÓN1,,2.0,CAUSASSELLADO1,0.54,,,0.12,0.05,21:40:00,4.7,2019,1,2
1,2019-01-02,1,2.0,5:00:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1604,SEL011,SAPI-001,TIPODEBOLSA2,30X60,210.0,,,,122.34,193.0,7.0,17.48,1.0,,,0.0,0.0,CAUSASEXTRUSION1,1.63,CAUSASIMPRESIÓN1,,0.45,CAUSASSELLADO1,0.0,,,0.3,0.1,21:45:00,4.75,2019,1,2
2,2019-01-02,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80.0,,,,100.0,130.0,5.0,20,0.0,,,9.57,0.0,CAUSASEXTRUSION1,0.06,CAUSASIMPRESIÓN1,,0.9,CAUSASSELLADO1,1.1,IMP. Y SELL,,0.0,0.06,5:00:00,7.0,2019,1,2
3,2019-01-02,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1604,SEL011,SAPI-001,TIPODEBOLSA2,30X60,210.0,,,,201.29,137.0,11.0,18.3,11.623,,,0.0,0.0,CAUSASEXTRUSION1,3.57,CAUSASIMPRESIÓN1,,0.75,CAUSASSELLADO1,0.0,,,0.1,0.14,3:00:00,5.0,2019,1,2
4,2019-01-03,1,1.0,7:00:00 a. m.,RESPONSABLE3,OPERADORES5,SAP-1606,SEL011,YELI-002,TIPODEBOLSA2,30X60,200.0,,,,75.0,75.0,3.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,1.23,CAUSASIMPRESIÓN1,,1.0,CAUSASSELLADO1,0.0,,,0.0,0.13,9:00:00,2.0,2019,1,3
5,2019-01-03,1,1.0,8:00:00 a. m.,RESPONSABLE3,OPERADORES6,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80.0,,,,68.6,63.0,3.0,22.87,0.0,,,8.55,0.0,CAUSASEXTRUSION1,0.11,CAUSASIMPRESIÓN1,,0.89,CAUSASSELLADO1,0.78,IMPRESIÓN,,0.0,0.06,11:30:00,3.5,2019,1,3
6,2019-01-03,1,1.0,9:40:00 a. m.,RESPONSABLE3,OPERADORES7,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,192.38,301.0,9.0,21.38,13.5,,,0.0,0.0,CAUSASEXTRUSION1,30.89,CAUSASIMPRESIÓN2,,1.17,CAUSASSELLADO1,0.0,,,0.51,0.12,14:00:00,4.3,2019,1,3
7,2019-01-03,1,1.0,8:30:00 a. m.,RESPONSABLE3,OPERADORES8,SAP-1606,SEL012,YELI-002,TIPODEBOLSA2,30X60,200.0,,,,137.0,139.0,5.0,27.4,0.0,,,0.0,0.0,CAUSASEXTRUSION1,2.56,CAUSASIMPRESIÓN1,,1.21,CAUSASSELLADO1,0.0,,,0.4,0.1,11:30:00,3.0,2019,1,3
8,2019-01-03,1,1.0,12:00:00 p. m.,RESPONSABLE3,OPERADORES6,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80.0,,,,40.0,50.0,2.0,20,0.0,,,5.35,0.0,CAUSASEXTRUSION1,0.75,CAUSASIMPRESIÓN1,,1.0,CAUSASSELLADO1,0.0,,,0.0,0.04,14:00:00,2.0,2019,1,3
9,2019-01-03,1,2.0,2:00:00 p. m.,RESPONSABLE1,OPERADORES1,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80.0,,,,100.0,123.0,5.0,20,0.0,,,12.71,0.0,CAUSASEXTRUSION1,2.0,CAUSASIMPRESIÓN1,,1.94,CAUSASSELLADO1,0.72,SELLADO,,0.25,0.1,22:00:00,8.0,2019,1,3
10,2019-01-03,1,2.0,4:00:00 p. m.,RESPONSABLE1,OPERADORES9,SAP-1607,SEL012,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,171.2,246.0,8.0,21.4,12.0,,,0.0,0.0,CAUSASEXTRUSION1,1.55,CAUSASIMPRESIÓN1,,0.76,CAUSASSELLADO1,0.0,,,0.31,0.13,22:00:00,6.0,2019,1,3
11,2019-01-03,1,2.0,2:00:00 p. m.,RESPONSABLE1,OPERADORES10,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,275.73,236.0,13.0,21.21,19.5,,,0.0,0.0,CAUSASEXTRUSION1,4.0,CAUSASIMPRESIÓN1,,1.16,CAUSASSELLADO1,0.0,,,0.1,0.11,21:55:00,7.9,2019,1,3
12,2019-01-03,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,167.92,140.0,8.0,20.99,12.0,,,0.0,0.0,CAUSASEXTRUSION1,0.63,CAUSASIMPRESIÓN1,,0.53,CAUSASSELLADO1,0.0,,,0.07,0.11,4:00:00,6.0,2019,1,3
13,2019-01-03,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,64.51,0.0,3.0,21.5,4.5,,,0.0,0.0,CAUSASEXTRUSION1,1.54,CAUSASIMPRESIÓN1,,0.1,CAUSASSELLADO1,0.0,,,0.0,0.11,23:50:00,1.8,2019,1,3
14,2019-01-03,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80.0,,,,64.93,70.0,3.0,21.64,0.0,,,7.67,0.0,CAUSASEXTRUSION1,0.9,CAUSASIMPRESIÓN1,,2.34,CAUSASSELLADO1,0.0,,,0.0,0.05,3:00:00,5.0,2019,1,3
15,2019-01-04,1,1.0,6:40:00 a. m.,RESPONSABLE3,OPERADORES12,SAP-1620,SEL003,RUBY-001,TIPODEBOLSA1,25+13X50,60.0,,,,80.0,196.0,4.0,20,0.0,,,10.2,0.0,CAUSASEXTRUSION1,2.0,CAUSASIMPRESIÓN3,,3.86,CAUSASSELLADO1,6.44,IMP. Y EXT.,,0.19,0.07,10:30:00,3.8,2019,1,4
16,2019-01-04,1,1.0,9:10:00 a. m.,RESPONSABLE3,OPERADORES8,SAP-1620,SEL009,RUBY-001,TIPODEBOLSA1,25+13X50,60.0,,,,165.6,107.0,8.0,20.7,0.0,,,22.91,0.0,CAUSASEXTRUSION1,3.0,CAUSASIMPRESIÓN1,,0.74,CAUSASSELLADO1,4.9,IMP. Y EXT.,,0.2,0.05,12:00:00,2.8,2019,1,4
17,2019-01-04,1,1.0,7:40:00 a. m.,RESPONSABLE3,OPERADORES7,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180.0,,,,241.92,239.0,11.0,21.99,17.2,,,0.0,0.0,CAUSASEXTRUSION1,1.3,CAUSASIMPRESIÓN1,,1.05,CAUSASSELLADO1,0.0,,,0.35,0.12,11:55:00,4.3,2019,1,4
18,2019-01-04,1,1.0,10:00:00 a. m.,RESPONSABLE3,OPERADORES5,SAP-1614,SEL011,BRIZ-001,TIPODEBOLSA2,30X60,200.0,,,,125.0,221.0,5.0,25,0.0,,,0.0,0.0,CAUSASEXTRUSION1,1.0,CAUSASIMPRESIÓN1,,0.5,CAUSASSELLADO1,0.0,,,0.35,0.12,14:00:00,4.0,2019,1,4
19,2019-01-04,1,1.0,12:00:00 p. m.,RESPONSABLE3,OPERADORES7,SAP-1612,SEL010,ELL-001,TIPODEBOLSA2,28X60,180.0,,,,88.88,83.0,4.0,22.22,6.0,,,0.0,3.12,CAUSASEXTRUSION2,0.52,CAUSASIMPRESIÓN1,,1.0,CAUSASSELLADO1,0.0,,,0.12,0.09,14:00:00,2.0,2019,1,4
20,2019-01-04,1,2.0,2:00:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1614,SEL011,BRIZ-001,TIPODEBOLSA2,30X60,200.0,,,,92.6,0.0,3.0,30.87,0.0,,,0.0,0.0,CAUSASEXTRUSION1,1.27,CAUSASIMPRESIÓN1,,0.0,CAUSASSELLADO2,0.0,,,0.1,0.15,16:35:00,2.6,2019,1,4
21,2019-01-04,1,2.0,5:20:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1621,SEL011,SAMA-001,TIPODEBOLSA2,22.5X54,175.0,,,,100.98,134.0,5.0,20.2,10.0,,,0.0,0.0,CAUSASEXTRUSION1,0.0,CAUSASIMPRESIÓN4,,0.15,CAUSASSELLADO1,0.0,,,0.0,0.06,21:45:00,4.4,2019,1,4
22,2019-01-04,1,2.0,2:00:00 p. m.,RESPONSABLE1,OPERADORES10,SAP-1612,SEL010,ELL-001,TIPODEBOLSA2,28X60,180.0,,,,241.61,305.0,11.0,21.96,16.5,,,0.0,0.0,CAUSASEXTRUSION1,2.0,CAUSASIMPRESIÓN1,,0.33,CAUSASSELLADO1,0.0,,,0.18,0.14,21:55:00,7.9,2019,1,4
23,2019-01-04,1,3.0,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1642,SEL009,POLE-002,TIPODEBOLSA1,25+13X51,50.0,,,,20.47,51.0,1.0,20.47,5.0,,,5.79,0.0,CAUSASEXTRUSION1,0.31,CAUSASIMPRESIÓN1,,0.12,CAUSASSELLADO1,1.0,IMP. Y SELL,,0.0,0,23:30:00,1.5,2019,1,4
