"SEMANA","FECHA","TURNO","IMPRESORA","OPERADOR","N° DE PEDIDO","CLAVE SAP","NOMBRE DE PEDIDO","TIPO DE PRODUCTO","ANCHO DE PELICULA","TINTAS","FOLIO DEL ROLLO","HORA INICIO","HORA FINAL","PESO DE ROLLO","RECUPERADO","% DE RECUP","HORAS DE TRABAJO","DISCO","Columna1","Columna2","Columna3","Columna4","Columna5","Columna6"
"DISCO","1/2/19",2.,5.,"OPERADOR1","SAP-1615","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","37CM","","SAP-1615-1-1","","",13.,"","",0.,"","","","","","",""
1.,"1/2/19",2.,5.,"OPERADOR1","SAP-1615","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","37CM","","SAP-1615-2-1","","",36.,"","",0.,"","","","","","",""
1.,"1/2/19",2.,5.,"OPERADOR1","SAP-1615","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","37CM","","SAP-1615-3-1","","",56.,"","",0.,"","","","","","",""
1.,"1/2/19",2.,5.,"OPERADOR1","SAP-1615","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","37CM","","SAP-1615-4-1","","",74.,"","",0.,"","","","","","",""
1.,"1/2/19",2.,7.,"OPERADOR2","SAP-1604","","NOMBREDEPEDIDO2","TIPODEPRODUCTO2","60CM","","SAP-1604-1-1","","",97.,13.,"",0.,"","","","","","",""
1.,"1/2/19",2.,7.,"OPERADOR2","SAP-1604","","NOMBREDEPEDIDO2","TIPODEPRODUCTO2","60CM","","SAP-1604-1-2","","",96.,7.,"",0.,"","","","","","",""
1.,"1/2/19",2.,7.,"OPERADOR2","SAP-1604","","NOMBREDEPEDIDO2","TIPODEPRODUCTO2","60CM","","SAP-1604-2-1","","",137.,"","",0.,"","","","","","",""
1.,"1/3/19",1.,5.,"OPERADOR3","SAP-1615","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","37CM","","SAP-1615-5-1","","",63.,"","",0.,"","","","","","",""
1.,"1/3/19",1.,5.,"OPERADOR3","SAP-1615A","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","48CM","","SAP-1615A-4-1","","",50.,"","",0.,"","","","","","",""
1.,"1/3/19",1.,5.,"OPERADOR3","SAP-1615A","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","48CM","","SAP-1615A-1-1","","",52.,"","",0.,"","","","","","",""
1.,"1/3/19",1.,5.,"OPERADOR3","SAP-1615A","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","48CM","","SAP-1615A-3-1","","",71.,"","",0.,"","","","","","",""
1.,"3-Jan",1.,5.,"OPERADOR3","SAP-1615A","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","48CM","","SAP-1615A-5-1","","",58.,"","",0.,"","","","","","",""
1.,"3-Jan",1.,5.,"OPERADOR3","SAP-1615A","","NOMBREDEPEDIDO1","TIPODEPRODUCTO1","48CM","","SAP-1615A-2-1","","",12.,"","",0.,"","","","","","",""
1.,"1/3/19",2.,7.,"OPERADOR2","SAP-1620","","NOMBREDEPEDIDO3","TIPODEPRODUCTO1","76CM","","SAP-1620-3-1","","",29.,"","",0.,"","","","","","",""
1.,"1/3/19",2.,6.,"OPERADOR4","SAP-1607","","NOMBREDEPEDIDO4","TIPODEPRODUCTO2","57CM","","SAP-1607-2-1","","",71.,"","",0.,"","","","","","",""
