FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO
2/1/19,1,2,5:00:00 p. m.,RESPONSABLE1,OPERADORES1,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80,,,,40,49,2,20,0,N/A,N/A,4.79,0,CAUSASEXTRUSION1,1.58,CAUSASIMPRESIÓN1,,2,CAUSASSELLADO1,0.54,,,0.12,0.05,21:40:00,4.7
2/1/19,1,2,5:00:00 p. m.,RESPONSABLE1,OPERADORES2,SAP-1604,SEL011,SAPI-001,TIPODEBOLSA2,30X60,210,,,,122.34,193,7,17.48,1,N/A,N/A,0,0,CAUSASEXTRUSION1,1.63,CAUSASIMPRESIÓN1,,0.45,CAUSASSELLADO1,0,,,0.3,0.1,21:45:00,4.75
2/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80,,,,100,130,5,20,0,N/A,N/A,9.57,0,CAUSASEXTRUSION1,0.06,CAUSASIMPRESIÓN1,,0.9,CAUSASSELLADO1,1.1,IMP. Y SELL,,0,0.06,5:00:00,7
2/1/19,1,3,10:00:00 p. m.,RESPONSABLE2,OPERADORES4,SAP-1604,SEL011,SAPI-001,TIPODEBOLSA2,30X60,210,,,,201.29,137,11,18.3,11.623,N/A,N/A,0,0,CAUSASEXTRUSION1,3.57,CAUSASIMPRESIÓN1,,0.75,CAUSASSELLADO1,0,,,0.1,0.14,3:00:00,5
3/1/19,1,1,7:00:00 a. m.,RESPONSABLE3,OPERADORES5,SAP-1606,SEL011,YELI-002,TIPODEBOLSA2,30X60,200,,,,75,75,3,25,0,N/A,N/A,0,0,CAUSASEXTRUSION1,1.23,CAUSASIMPRESIÓN1,,1,CAUSASSELLADO1,0,,,0,0.13,9:00:00,2
3/1/19,1,1,8:00:00 a. m.,RESPONSABLE3,OPERADORES6,SAP-1615,SEL003,BELLE-001,TIPODEBOLSA1,25+12X51,80,,,,68.6,63,3,22.87,0,N/A,N/A,8.55,0,CAUSASEXTRUSION1,0.11,CAUSASIMPRESIÓN1,,0.89,CAUSASSELLADO1,0.78,IMPRESIÓN,,0,0.06,11:30:00,3.5
3/1/19,1,1,9:40:00 a. m.,RESPONSABLE3,OPERADORES7,SAP-1607,SEL010,VIHU-002,TIPODEBOLSA2,28X57,180,,,,192.38,301,9,21.38,13.5,N/A,N/A,0,0,CAUSASEXTRUSION1,30.89,CAUSASIMPRESIÓN2,,1.17,CAUSASSELLADO1,0,,,0.51,0.12,14:00:00,4.3
3/1/19,1,1,8:30:00 a. m.,RESPONSABLE3,OPERADORES8,SAP-1606,SEL012,YELI-002,TIPODEBOLSA2,30X60,200,,,,137,139,5,27.4,0,N/A,N/A,0,0,CAUSASEXTRUSION1,2.56,CAUSASIMPRESIÓN1,,1.21,CAUSASSELLADO1,0,,,0.4,0.1,11:30:00,3
3/1/19,1,1,12:00:00 p. m.,RESPONSABLE3,OPERADORES6,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80,,,,40,50,2,20,0,N/A,N/A,5.35,0,CAUSASEXTRUSION1,0.75,CAUSASIMPRESIÓN1,,1,CAUSASSELLADO1,0,,,0,0.04,14:00:00,2
3/1/19,1,2,2:00:00 p. m.,RESPONSABLE1,OPERADORES1,SAP-1615A,SEL003,BELLE-002,TIPODEBOLSA1,30+18X60,80,,,,100,123,5,20,0,N/A,N/A,12.71,0,CAUSASEXTRUSION1,2,CAUSASIMPRESIÓN1,,1.94,CAUSASSELLADO1,0.72,SELLADO,,0.25,0.1,22:00:00,8
